,0
0,17.272041286329916
1,-122.53420677938102
2,8.658996954027739
3,0.34514505470034046
4,-78.01823012744511
5,0.9579336987326282
6,10.890104693147357
7,13.041284733544547
8,2.4077956514104386
9,-3.4079482761517585
10,26.97506492025145
11,-76.32220032734087
12,-118.92739474347516
13,-78.8035131444947
14,170.35568629553686
15,1.8044673957232407
16,-75.7545608482275
17,-82.97922981595369
18,12.79250808329107
19,-99.8727036267997
20,21.160628841006414
21,162.93213876612623
22,-97.73078489902007
23,4.6549043708535285
24,10.001496585766057
25,16.559957248519048
26,5.011106194336916
27,15.709164527175377
28,112.68438862814446
29,-86.01455618935164
30,7.552238118038778
31,-94.8315895881819
32,10.444047642369274
33,-89.88484644264923
34,-91.71979397283931
35,-80.6428164370281
36,-22.285697851879828
37,-93.07026553440099
38,6.823974432066123
39,-76.03658938364329
40,-122.75667365486315
41,5.129752493793789
42,-71.16459674721136
43,-107.9468968416527
44,-76.2891037902348
45,-3.07996180183111
46,105.48548827041111
47,-80.14425924726747
48,-102.76913483344255
49,-87.86053766675577
50,-109.02480259905522
51,103.91490343521158
52,-2.507070680577071
53,-79.89699869442327
54,-97.02564610915185
55,24.140536914620064
56,-105.30380728695917
57,-59.905107320720376
58,-111.15035299668048
59,-11.638987689320741
60,-114.24274766341765
61,151.76261663698472
62,10.404942858472308
63,-82.53687179675478
64,-85.76082614636276
65,-124.43502895274491
66,-90.30399085396873
67,-75.8325269430989
68,8.91085462424441
69,106.04705449634272
70,14.944327492585193
71,-99.49092847282523
72,-1.8806104389042935
73,-151.10979599249475
74,-90.51747056438721
75,11.360091471128351
76,136.7754173888771
77,18.08257585485761
78,-59.525836304494185
79,-77.62297274315749
80,-112.28496324870697
81,-97.39150107635717
82,139.75768523051642
83,-80.52778924453456
84,4.711757715292362
85,-95.05415556099614
86,-119.69986536398899
87,-86.8457533735546
88,19.837150710517438
89,142.82357571497667
90,9.066946396124909
91,8.769834496093704
92,-90.57810865909654
93,20.65302940149215
94,-94.43559137829386
95,-4.762993713868968
96,-37.62809033286902
97,-59.62407360615209
98,-2.750490195520863
99,-75.9221461043885
100,-140.85857166172974
101,7.956696661788061
102,11.924963678738312
103,-122.55724672685773
104,-110.83398948613703
105,-79.26970348753729
106,-86.83333891827348
107,-114.47954210778964
108,14.72603565140693
109,113.95372733294926
110,1.7704767258059875
111,-91.15663235290161
112,-1.1713944952524846
113,-72.08918748239249
114,-87.48773577557817
115,51.80082531746604
116,-83.55312708497054
117,-112.58879581429974
118,-75.95067361153765
119,-79.55926154561182
120,128.04523092853685
121,-88.06918241379303
122,-103.49746439217334
123,-109.44346070517754
124,3.837612543411094
125,78.11029522034092
126,-100.16032420761253
127,17.826408522803273
128,-76.36297384318772
129,-99.00332335242294
130,-78.34431858175576
131,-89.6276061966642
132,-119.18204588196245
133,-98.06836684368075
134,-77.63154305992431
135,-94.88046974484129
136,28.30553151926118
137,-70.41355018385131
138,12.993813054178672
139,-1.0790458518748594
140,-97.0200741454619
141,5.330632872155227
142,-83.88555017631919
143,-112.76766684260193
144,-69.45784114680154
145,-58.77148494624167
146,16.048395365130176
147,-87.4749291666391
148,-104.90084163516231
149,9.095093372272046
150,19.89889499657489
151,99.44860225797594
152,-98.9249473769469
153,-114.40728103399063
154,37.714626926235205
155,-113.15142292114572
156,-2.538156961225288
157,-14.77612203138734
158,-73.30365582555241
159,-91.46070982733399
160,-71.50718272708869
161,-79.03131162722605
162,14.216663986734332
163,18.862401520473103
164,-116.8789346497823
165,-110.63479851273694
166,-83.86052454945063
167,-74.50367940989244
168,-107.78110944669245
169,-124.35129009395693
170,17.985020494065257
171,-110.22352827975027
172,95.75993321145475
173,-82.1494096433442
174,-143.15527952778137
175,-80.99749309940361
176,-71.80644416337155
177,-4.729614047477611
178,-97.9275614790154
179,-97.48258325946027
