idid,pagerank,component
30,0.26601349228966853,8589934592
6,1.6259347554991166,8589934592
64,0.3218651899999517,8589934592
66,0.36427230239138675,8589934592
7,1.4793162242483375,8589934592
118,0.7984422444757688,8589934592
12,1.8493422063815157,8589934592
46,2.208140233509065,8589934592
16,3.0312124861824916,8589934592
107,1.2230089633090988,8589934592
94,1.293516357916128,8589934592
131,1.2262125673515138,8589934592
19,2.270709800931732,8589934592
109,1.190966088196939,8589934592
15,2.9094767569148705,8589934592
23,1.0770544238825077,8589934592
119,0.2987488261902313,8589934592
84,1.6076214431809497,8589934592
77,2.607007454513637,8589934592
25,0.39821565940315984,8589934592
82,0.3124948660983806,8589934592
9,2.244418122697901,8589934592
24,0.8744474221073266,8589934592
33,0.6338888331285644,8589934592
49,0.7179581522444181,8589934592
98,1.474082721308122,8589934592
1,1.6405343103950376,8589934592
50,0.6299059686806141,8589934592
92,0.3288952091068996,8589934592
95,0.707980235598336,8589934592
113,0.18587736460155635,8589934592
83,0.2210254364608758,8589934592
106,0.2637578171898526,8589934592
132,0.1875175240169684,8589934592
122,1.3386922072550271,8589934592
38,1.9221131972772871,8589934592
67,1.7942368394686428,8589934592
39,0.9236309163291891,8589934592
31,1.7213575429049417,8589934592
121,0.5436738751733723,8589934592
99,0.4064711391254442,8589934592
21,1.333178400777061,8589934592
111,0.43275963545627605,8589934592
32,1.7234477478672452,8589934592
101,0.26137739448024905,8589934592
4,0.33146733742606244,8589934592
68,1.2461591378023489,8589934592
28,2.028814372082657,8589934592
59,1.0304198569822574,8589934592
123,0.6534545580239917,8589934592
78,1.836117884873682,8589934592
13,1.412143122329456,8589934592
93,1.6026577554741193,8589934592
57,1.2704821546025045,8589934592
41,1.1119011735545763,8589934592
87,0.18319742902304365,8589934592
26,0.8618876614520747,8589934592
11,0.9110394425777868,8589934592
140,1.271000506227459,8589934592
75,0.4805128153964681,8589934592
34,0.806061695645399,8589934592
56,0.2975230295780086,8589934592
124,0.3218651899999517,8589934592
35,0.19413305575240516,8589934592
97,1.1591298789964797,8589934592
2,0.1802014337008585,8589934592
60,0.5182712636739971,8589934592
22,1.1770344661453924,8589934592
103,0.29667037221410375,8589934592
127,2.272439185951408,8589934592
36,1.5082876096733207,8589934592
65,0.878512240731892,8589934592
42,2.4162146423897637,8589934592
88,0.7140154394237193,8589934592
40,1.778084991037411,8589934592
125,0.3573865923243816,8589934592
37,0.283410244362259,8589934592
137,0.3218651899999517,8589934592
43,2.6928889615456373,8589934592
8,0.20590962653494768,8589934592
62,1.3188442835594951,8589934592
108,0.5265874514871175,8589934592
110,0.5248116735809751,8589934592
102,0.797157254918368,8589934592
130,1.1514076202952075,8589934592
142,0.32980062577202507,8589934592
116,1.902784778354191,8589934592
117,1.3642624179195622,8589934592
138,0.1802014337008585,8589934592
29,0.6991157771784597,8589934592
20,1.5625201564135485,8589934592
69,0.16390143590054893,8589934592
5,0.2637578171898526,8589934592
134,0.22953527911923402,8589934592
53,1.458140311511588,8589934592
76,0.43616731336761116,8589934592
112,0.45786915552746776,8589934592
17,2.506549189016357,8589934592
14,0.9726866839774132,8589934592
3,1.6984941752663592,8589934592
96,1.455726267721162,8589934592
52,0.328370303133414,8589934592
85,0.43662102385613316,8589934592
114,1.6458349548964522,8589934592
141,0.9563313104046878,8589934592
115,0.19531724362678665,8589934592
91,1.6083003881284967,8589934592
18,2.6872473111668786,8589934592
74,0.4993229291199659,8589934592
71,0.7097099239477945,8589934592
105,0.445634153818757,8589934592
0,2.3299009737542056,8589934592
70,1.2382460143148766,8589934592
143,0.2590271793079999,8589934592
55,0.47402262603820616,8589934592
90,1.1556318504970369,8589934592
136,0.18138562157524002,8589934592
54,1.6591476688071318,8589934592
47,1.2677849104351204,8589934592
63,0.41214728145470647,8589934592
79,1.0058622304732592,8589934592
86,0.6061426287558401,8589934592
129,0.24094147035439661,8589934592
10,2.527578761198487,8589934592
27,0.1851631808945169,8589934592
139,0.3218651899999517,8589934592
120,0.3901650916869833,8589934592
61,0.1965014315011681,8589934592
135,1.694029702170541,8589934592
73,0.37647054727739193,8589934592
133,0.46756960019814714,8589934592
100,1.198789100987296,8589934592
48,0.8206755342939527,8589934592
126,0.6834124556467718,8589934592
104,0.9356029174372685,8589934592
45,2.302464321787905,8589934592
51,1.7427214411202743,8589934592
72,1.0123662748889761,8589934592
128,0.18138562157524002,8589934592
44,0.21729317232779402,8589934592
81,0.17901724582647704,8589934592
80,2.000521333157539,8589934592
58,0.27835728463204257,8589934592
89,0.46283801771904887,8589934592
