src,dst
79,68
79,28
80,93
80,135
80,0
80,59
80,127
80,1
80,116
80,122
80,77
80,78
81,25
81,111
81,85
81,63
81,48
81,74
81,130
81,47
81,105
81,14
82,86
82,71
82,53
82,3
82,66
82,97
82,127
82,123
82,117
82,70
83,137
83,125
83,139
83,128
83,124
83,112
83,64
83,118
83,60
83,136
84,95
84,40
84,31
84,70
84,90
84,6
84,91
84,94
84,41
84,54
85,111
85,130
85,63
85,74
85,48
85,25
85,92
85,14
85,13
85,12
86,53
86,71
86,127
86,3
86,123
86,117
86,114
86,96
86,82
86,77
87,49
87,51
87,140
87,72
87,23
87,57
87,143
87,101
87,22
87,109
88,21
88,34
88,20
88,28
88,79
88,68
88,32
88,40
88,67
88,89
89,68
89,88
89,11
89,34
89,121
89,40
89,91
89,54
89,100
89,21
90,97
90,40
90,141
90,70
90,84
90,6
90,94
90,95
90,31
90,131
91,40
91,54
91,11
91,84
91,31
91,6
91,100
91,68
91,94
91,104
92,14
92,99
92,130
92,48
92,85
92,4
92,50
92,13
92,12
92,74
93,1
93,78
93,77
93,0
93,116
93,80
93,135
93,3
93,110
93,65
94,95
94,31
94,70
94,84
94,90
94,6
94,91
94,41
94,54
94,40
95,97
95,54
95,31
95,70
95,84
95,6
95,90
95,91
95,94
95,40
96,97
96,53
96,141
96,131
96,127
96,117
96,7
96,114
96,123
96,0
97,90
97,141
97,131
97,53
97,95
97,114
97,96
97,70
97,84
97,117
98,67
98,107
98,28
98,10
98,9
98,20
98,32
98,38
98,120
98,29
99,92
99,14
99,13
99,4
99,37
99,47
99,12
99,48
99,50
99,130
100,121
100,104
100,54
100,91
100,40
100,68
100,31
100,11
100,6
100,126
101,143
101,73
101,49
101,134
101,27
101,100
101,140
101,26
101,66
101,104
102,57
102,51
102,140
102,26
102,104
102,23
102,22
102,49
102,109
102,79
103,76
103,37
103,142
103,58
103,38
103,29
103,129
103,52
103,9
103,17
104,100
104,102
104,31
104,68
104,91
104,54
104,40
104,6
104,51
104,41
105,111
105,130
105,45
105,48
105,50
105,62
105,47
105,14
105,12
105,13
106,62
106,5
106,56
106,13
106,45
106,12
106,47
106,18
106,75
106,15
107,98
107,28
107,20
107,51
107,120
107,32
107,36
107,67
107,79
107,10
108,10
108,75
108,55
108,24
108,19
108,18
108,16
108,15
108,43
108,42
109,57
109,22
109,36
109,23
109,140
109,51
109,72
109,102
109,28
109,133
110,1
110,135
110,3
110,78
110,93
110,65
110,77
110,80
110,116
110,59
111,25
111,105
111,30
111,85
111,47
111,62
111,74
111,63
111,48
111,50
112,33
112,60
112,77
112,1
112,59
112,116
112,0
112,118
112,125
112,65
113,81
113,111
113,25
113,105
113,5
113,63
113,30
113,85
113,106
113,74
114,117
114,53
114,141
114,96
114,131
114,127
114,97
114,7
114,0
114,77
115,35
115,141
115,96
115,131
115,97
115,114
115,53
115,138
115,119
115,7
116,77
116,59
116,118
116,80
116,0
116,135
116,93
116,78
116,65
116,1
117,53
117,96
117,123
117,127
117,114
117,86
117,71
117,77
117,131
117,97
118,80
118,116
118,59
118,60
118,65
118,33
118,0
118,77
118,78
118,7
119,7
119,114
119,0
119,122
119,131
119,77
119,141
119,80
119,127
119,96
120,36
120,10
120,79
120,20
120,98
120,67
120,107
120,51
120,28
120,32
121,100
121,40
121,68
121,11
121,89
121,54
121,34
121,91
121,31
121,104
122,78
122,77
122,80
122,3
122,135
122,114
122,127
122,7
122,116
122,0
123,117
123,71
123,53
123,127
123,131
123,3
123,77
123,86
123,96
123,114
124,125
124,60
124,139
124,112
124,137
124,33
124,64
124,65
124,118
124,78
125,139
125,124
125,112
125,64
125,33
125,137
125,60
125,118
125,59
125,116
126,100
126,31
126,94
126,54
126,41
126,6
126,70
126,84
126,104
126,40
127,77
127,117
127,53
127,7
127,114
127,3
127,96
127,78
127,0
127,86
128,124
128,112
128,139
128,60
128,137
128,64
128,33
128,8
128,83
128,125
129,42
129,17
129,142
129,103
129,37
129,99
129,52
129,76
129,39
129,43
130,47
130,14
130,12
130,13
130,48
130,50
130,45
130,62
130,46
130,15
131,117
131,53
131,141
131,96
131,97
131,114
131,7
131,90
131,71
131,119
132,36
132,133
132,57
132,140
132,56
132,55
132,49
132,72
132,109
132,75
133,22
133,72
133,24
133,109
133,57
133,36
133,55
133,107
133,23
133,98
134,54
134,73
134,66
134,101
134,91
134,49
134,11
134,104
134,100
134,40
135,0
135,116
135,1
135,3
135,77
135,127
135,7
135,80
135,122
135,93
136,64
136,112
136,118
136,124
136,139
136,60
136,137
136,125
136,83
136,115
137,125
137,33
137,139
137,60
137,64
137,65
137,83
137,112
137,124
137,118
138,114
138,53
138,141
138,90
138,131
138,96
138,97
138,70
138,119
138,117
139,125
139,59
139,60
139,64
139,33
139,137
139,112
139,118
139,124
139,116
140,22
140,109
140,57
140,51
140,23
140,36
140,20
140,26
140,79
140,72
141,117
141,53
141,90
141,131
141,96
141,97
141,114
141,70
141,7
141,71
142,67
142,28
142,29
142,32
142,103
142,38
142,52
142,58
142,9
142,98
143,51
143,101
143,140
143,49
143,87
143,23
143,57
143,72
143,79
143,26
