,0
0,50.060746
1,4.594663
2,42.38035
3,33.311502000000004
4,47.211034999999995
5,48.742697
6,59.601748
7,33.315404
8,-42.983678999999995
9,37.602470000000004
10,38.905711
11,37.679758
12,30.041259000000004
13,22.4691
14,47.777998
15,46.006659
16,53.68903100000001
17,23.01655
18,49.264108
19,19.252782999999997
20,35.310821000000004
21,63.268917
22,32.941413
23,38.805431
24,39.748876
25,32.836804
26,33.122754
27,50.036739000000004
28,29.732138
29,50.036621000000004
30,43.771367
31,38.732252
32,20.744545000000002
33,68.235079
34,45.536339
35,43.668155
36,43.771766
37,52.188337
38,49.846740000000004
39,50.070374
40,49.787395000000004
41,36.861686
42,-31.654666
43,38.618852000000004
44,32.625856
45,52.315574
46,35.637415999999995
47,40.648216999999995
48,38.883482
49,20.525828
50,50.716195
51,49.774228
52,50.720493
53,26.231603000000003
54,32.745725
55,43.490955
56,52.692813
57,59.926857
58,25.788010999999997
59,53.61303100000001
60,40.628678
61,49.214872
62,30.042525
63,52.206144
64,40.935514000000005
65,51.115161
66,40.428831
67,52.187076
68,1.36131
69,46.211991999999995
70,25.784283
71,34.897858
72,25.047666
73,44.490325
74,50.771116
75,20.525489
76,63.432963
77,53.633337
78,20.523695
79,40.427596
80,34.100619
81,55.934155000000004
82,41.666675
83,44.335378000000006
84,39.286401
85,45.381828999999996
86,40.077609
87,38.973380999999996
88,20.531198999999997
89,52.367940000000004
90,48.74338
91,43.771873
92,55.926010999999995
93,49.602855
94,57.609916000000005
95,34.105129999999996
96,63.283988
97,25.7258
98,49.601388
99,40.936339000000004
100,55.524384
101,33.912997
102,41.724499
103,46.503135
104,38.952031
105,39.415079999999996
106,40.56562
107,52.205646
108,13.880188
109,52.366116
110,38.896521
111,53.780064
112,42.136790000000005
113,46.176015
114,42.007587
115,52.022086
116,35.984118
117,45.464801
118,42.278436
119,19.273759
120,63.28439399999999
121,38.95477
122,44.549395000000004
123,53.503595
124,13.767684
125,34.024245
126,43.710217
127,53.289218999999996
128,50.083384
129,40.922909000000004
130,50.055782
131,53.123672
132,55.999280000000006
133,40.565366999999995
134,37.791576
135,34.625932
136,35.692296
137,44.494137
138,29.97038
139,1.428536
140,41.569662
141,53.537923
142,26.236078000000003
143,68.233272
144,41.362412
145,30.042068
146,36.067321
147,50.038319
148,49.337478000000004
149,49.599909999999994
150,46.115232
151,53.12126899999999
152,52.692606000000005
153,34.656512
154,42.505487
155,33.004418
156,52.882290000000005
157,33.311994
158,48.742963
159,39.317952000000005
160,53.12695
161,42.275509
162,13.756819
163,50.039377
164,44.334996999999994
165,46.005204
166,45.473447
167,43.206249
168,14.651998
169,46.15605
170,38.803778
171,30.16478
172,43.838954
173,37.328343
174,40.28792
175,46.004591
176,50.073774
177,42.199602
178,46.007846
179,13.746935
180,38.857846
181,49.748624
182,-33.872707
183,48.426871999999996
184,20.526518
185,53.61071999999999
186,48.606865
187,40.026998
188,56.008680000000005
189,1.520438
190,34.704546
191,50.772009999999995
192,32.914404
193,50.045640999999996
194,44.143426
195,25.219438
196,50.136465
197,30.040084999999998
198,2.253419
199,29.734467
200,51.302761
201,43.706588
202,-27.386159000000003
203,38.422469
204,49.134881
205,56.156169999999996
206,53.687782999999996
207,45.152501
208,49.143736
209,45.873852
210,44.347035
211,52.18592
212,50.038647999999995
213,54.516715000000005
214,30.038821999999996
215,-22.979204
216,46.499849
217,41.136013
218,42.026466
219,42.354083
220,26.355453000000004
221,49.685836
222,34.897989
223,26.329839
224,33.000186
225,55.906884
226,49.210521
227,55.930849
228,39.271148
229,-34.611715999999994
230,43.668263
231,14.636756
232,38.658214
233,20.542903
234,44.060903
235,32.962918
236,59.664933
237,39.411128000000005
238,40.563474
239,53.127248
240,49.649194
241,38.95145
242,34.105235
243,48.612125
244,39.616777
245,28.078363
246,30.173614
247,45.625895
248,39.752294
249,50.053699
250,45.836948
251,52.358833000000004
252,32.745619
253,53.606865
254,49.364315000000005
255,46.034789
256,53.68736
257,52.090142
258,55.908533999999996
259,34.325009
260,53.124324
261,45.157583
262,50.103898
263,49.39776
264,43.773666999999996
265,13.860026999999999
266,53.687844999999996
267,40.432674
268,63.283726
269,-32.06002
270,53.687039
271,49.77045
272,49.962908
273,29.950227
274,29.942463
275,50.614573
276,33.434024
277,52.191804
278,52.187905
279,52.366116
280,20.443539
281,-37.79388
282,20.477071
283,44.4841
284,49.843854
285,50.141687
286,53.724596999999996
287,42.920653
288,45.522475
289,41.593396999999996
290,44.345075
291,37.800728
292,44.417173
293,29.166565000000002
294,32.23895
295,30.002994
296,53.470937
297,22.267429999999997
298,30.421957
299,53.458383999999995
300,48.88667
301,20.52644
302,57.605615
303,34.172447999999996
304,50.085674
305,50.759943
306,37.283082
307,50.061231
308,49.901004
309,42.249399
310,32.239492
311,55.931741
312,44.337764
313,49.255008000000004
314,49.871967
315,34.898049
316,44.062357
317,53.538999
318,34.009075
319,40.723965
320,-34.914896999999996
321,-34.600597
322,38.809374
323,50.087491
324,39.645788
325,45.157827000000005
326,25.696169
327,45.577508
328,50.079631
329,39.286328999999995
330,33.900993
331,53.12668000000001
332,41.723201
333,55.935802
334,60.422751
335,50.136573
336,54.680165
337,59.208808999999995
338,29.941734000000004
339,20.526278
340,63.434220999999994
341,48.744532
342,45.408751
343,53.813012
344,48.89034
345,51.42324
346,39.431443
347,40.421727000000004
348,44.347198999999996
349,50.085896999999996
350,44.418606
351,26.235377000000003
352,63.329939
353,32.741657000000004
354,48.889241
355,34.166677
356,40.536953000000004
357,41.078922999999996
358,4.586611
359,34.029928000000005
360,34.899995000000004
361,39.749775
362,25.78707
363,41.891797
364,32.646753000000004
365,50.075309999999995
366,40.972974
367,20.530298000000002
368,49.60181
369,60.412298
370,46.005955
371,46.006157
372,26.231218
373,38.909539
374,39.754799
375,49.12428
376,44.334158
377,45.506890000000006
378,33.369195
379,29.702817
380,41.670656
381,40.021598
382,38.85775
383,48.887311
384,-42.774932
385,39.11877
386,50.712447
387,22.407957999999997
388,51.297184
389,20.547776000000002
390,20.528243
391,44.418616
392,53.434743000000005
393,53.536508999999995
394,42.279098
395,53.799188
396,38.854962
397,48.744124
398,53.55709399999999
399,43.925048
400,33.810874
401,50.750786
402,30.176289
403,36.234122
404,45.788891
405,38.22842
406,4.607399
407,35.695009000000006
408,22.408584
409,37.208346999999996
410,47.373047
411,35.918298
412,44.481689
413,39.742569
414,13.80565
415,49.435432
416,33.313891
417,54.596316
418,4.376233
419,46.09084
420,32.928079
421,39.95772
422,36.600823999999996
423,44.547045000000004
424,42.277708000000004
425,41.672909999999995
426,45.853013
427,45.369033
428,52.390722
429,14.680537
430,52.187818
431,25.786938
432,40.058838
433,34.112897
434,50.775681
435,34.208982
436,43.771643
437,52.183432
438,20.529427
439,41.894841
440,32.928473
441,63.27335
442,45.562901000000004
443,38.807685
444,19.252415
445,22.41116
446,33.139897
447,34.372524
448,53.541187
449,20.525578
450,52.363516
451,41.080534
452,45.471582
453,38.823207000000004
454,48.607741
455,49.787996
456,32.925592
457,40.714312
458,32.97848
459,53.693619999999996
460,39.659281
461,52.207138
462,43.772154
463,52.155357
464,46.034519
465,40.792458
466,48.748139
467,37.600640000000006
468,44.495775
469,50.332565
470,52.702864
471,-37.808993
472,46.006639
473,63.283885
474,50.780812
475,55.082043999999996
476,39.901945
477,24.828019
478,39.105381
479,44.490603
480,40.417228
481,56.155882999999996
482,26.080869
483,18.156283
484,32.236908
485,53.443327000000004
486,55.950514
487,32.745810999999996
488,50.075996999999994
489,35.737792999999996
490,49.147982
491,53.114004
492,33.432744
493,-34.559387
494,49.836504
495,53.396105000000006
496,49.125997999999996
497,22.467301000000003
498,52.996968
499,29.557465999999998
500,23.011226999999998
501,48.612239
502,47.705009999999994
503,48.309428000000004
504,30.04252
505,47.671479
506,39.749426
507,50.083560999999996
508,49.582777
509,34.476421
510,40.921366
511,44.061858
512,30.04243
513,37.718796999999995
514,26.230938000000002
515,38.979024
516,31.802953999999996
517,42.336046
518,38.984885
519,52.202002
520,45.631245
521,53.627644999999994
522,33.306846
523,42.736628
524,46.519961
525,39.748568
526,53.540151
527,33.510165
528,49.765238000000004
529,43.772693
530,36.133364
531,49.208604
532,40.39663
533,49.783578999999996
534,1.347134
535,46.005199
536,48.742236
537,41.727652
538,19.250677
539,46.004163
540,49.259046000000005
541,44.479890999999995
542,29.814760999999997
543,18.500483
544,42.551457
545,38.980209
546,42.025067
547,30.040805
548,39.275816
549,39.755957
550,37.807546
551,47.137772999999996
552,45.46637
553,34.335174
554,40.387483
555,42.278477
556,34.062684999999995
557,49.181046
558,46.851112
559,46.033553999999995
560,20.569807
561,39.889984999999996
562,44.483926000000004
563,42.279387
564,46.042660999999995
565,29.970741999999998
566,50.016255
567,63.269743000000005
568,52.367160999999996
569,37.317402
570,63.286584999999995
571,41.672015
572,40.029804999999996
573,39.746355
574,53.336482
575,48.460817999999996
576,39.702969
577,44.421125
578,40.047531
579,49.852869
580,38.786316
581,19.273092000000002
582,37.6054
583,33.601942
584,42.009297
585,52.107794
586,46.499586
587,56.163993000000005
588,52.028943
589,35.458634
590,53.61653199999999
591,50.979068
592,55.52628299999999
593,48.332703
594,49.226622
595,49.978658
596,55.2626
597,38.854583
598,48.743831
599,42.195524
600,22.469422
601,42.005428
602,51.425758
603,46.034804
604,33.311261
605,44.431114
606,50.041009
607,42.146544
608,4.809569000000001
609,53.589381
610,22.466298000000002
611,42.280440000000006
612,57.68370600000001
613,30.043243
614,34.898178
615,46.086544
616,47.661756
617,50.132259000000005
618,34.6575
619,25.045416
620,46.034983000000004
621,35.635582
622,38.989721
623,40.053202
624,53.63033299999999
625,18.482419
626,53.124906
627,49.585878
628,46.495236
629,34.010905
630,44.420703
631,46.015623
632,-42.080131
633,37.207304
634,20.526042
635,45.153677
636,33.402812
637,53.875665000000005
638,40.429784000000005
639,39.753134
640,49.130551000000004
641,44.492714
642,30.041531
643,22.467776999999998
644,34.660810999999995
645,40.399854
646,33.693071
647,53.543748
648,30.042253999999996
649,44.421671
650,36.071323
651,41.73059
652,49.66624
653,53.631510999999996
654,53.446548
655,38.807464
656,49.107631
657,33.309326
658,39.789564
659,38.445458
660,50.323533000000005
661,34.901604999999996
662,45.58837
663,43.774126
664,42.245323
665,20.527204
666,54.680949
667,-31.646793
668,29.16338
669,38.880598
670,50.130996
671,41.753333000000005
672,-6.9476059999999995
673,13.786351000000002
