,true longitude
0,14.912360330921754
1,120.28843685957294
2,-51.131411200556485
3,-103.20001467159706
4,-40.33037317960728
5,-1.4415602468495634
6,15.649114406627337
7,-107.8223973355949
8,155.39600829430532
9,-107.33222970292408
10,-79.2925935353454
11,-99.4319973268907
12,-80.9594131157805
13,86.68782112077464
14,-25.217117742275413
15,11.700918483260144
16,-1.2635492335240703
17,67.30639871476038
18,-116.73053532135269
19,-98.73785489878746
20,-74.24342138216437
21,25.828871663059545
22,-100.81307298710479
23,-69.90914353674793
24,-92.62001269205186
25,-93.10086984676198
26,-94.03947292737693
27,18.596470227126396
28,-92.05296581183033
29,18.354593570659738
30,-71.67818461598073
31,-85.58490241060471
32,-94.06040531695272
33,15.556012736129814
34,27.222190574898256
35,5.913634635959592
36,-82.52299220215927
37,-4.822005061239497
38,24.066040937018283
39,0.35464421305884075
40,17.275379506320146
41,-90.51099690628483
42,-40.24223000217648
43,-102.28801327301609
44,-117.03531027101879
45,8.80681303644231
46,120.83174837243898
47,-76.6899410678807
48,-85.26986346290686
49,-92.95231456226476
50,2.7195738899494857
51,-57.78431732353547
52,-12.934997757400025
53,-94.88600733653979
54,-86.1132910042499
55,-4.733799390630096
56,-28.02478806107666
57,12.489419575479925
58,-94.15551991463145
59,-102.75039059906109
60,-43.5709889339761
61,28.543921317472368
62,-93.71079784778325
63,-7.733553238686342
64,-73.14872728950876
65,20.544804965595876
66,-83.0510449540812
67,4.043819877254174
68,66.70798618264205
69,-25.34785940891224
70,-72.06168987014036
71,-78.6554280962842
72,54.515744563680876
73,16.762113778868542
74,13.349904956085098
75,-87.40982852635662
76,8.326847814185921
77,-119.98005521998
78,-86.50931924393075
79,-82.1301034468435
80,-94.61705127150123
81,6.863336276091323
82,-17.943339616810025
83,-63.957072120945014
84,-87.44189772617396
85,-119.89737882845834
86,-114.24192885512073
87,-79.74208084884619
88,-102.17319574677059
89,-6.612682139276532
90,-0.5426526128968121
91,-84.45220208537683
92,8.317130725739359
93,20.116271661850956
94,9.388340473707439
95,-104.76251943270442
96,-17.76115756424403
97,-85.65010007887126
98,15.546786086052881
99,-79.49334548401622
100,1.718337303457825
101,-110.90116272962462
102,-74.93334257724823
103,13.229580192871042
104,-69.57219737007547
105,-99.98190907583121
106,-116.82998429080776
107,-9.721164649393346
108,76.70548118581554
109,-6.371615612902667
110,-76.05503495616875
111,-28.647950500286694
112,-62.50567315093247
113,-87.59472609996641
114,1.369364771347185
115,3.2658914296390815
116,-102.73140852171231
117,-44.183039821231766
118,-90.40247697172397
119,-88.97911193599109
120,-18.200529838020554
121,-65.43684099574129
122,-2.5414078755660627
123,-117.09149538806446
124,64.13490501168985
125,-69.75326467091467
126,-63.576076582541035
127,-43.290505171966004
128,17.4247982033793
129,4.404683179143426
130,0.4429848377390144
131,19.36350372996891
132,17.199514742496305
133,-109.50460265929179
134,-111.07377828587617
135,-120.62731333889074
136,-73.80618865801206
137,-1.2597330283360835
138,-88.27584962864209
139,64.50203656759008
140,-77.08135114055689
141,-93.80074670044704
142,-76.70826158182014
143,9.587967581615942
144,-54.34917014945972
145,-85.97758083380074
146,-84.2732318278301
147,23.53929404106725
148,21.04997503020882
149,17.627460350503437
150,19.593550954342774
151,-15.473034401078142
152,-26.79220164242742
153,-115.13516917256533
154,-77.81285653233559
155,-93.95374174224266
156,28.71895638737149
157,-119.31636274941681
158,-12.703105059512135
159,-65.16935843880646
160,20.598137126592967
161,-19.224640305943254
162,68.12463257878781
163,7.389098415168941
164,-73.9568732001375
165,12.530080894476873
166,-18.128297391112845
167,-68.89719611084836
168,91.9884697179508
169,-104.69710193759077
170,-75.88037770734127
171,-89.8829546793874
172,-25.21202620328217
173,-84.88026185629008
174,-34.504465467471746
175,11.96182672666171
176,6.275917248415097
